pincode,lat,lng
143204,31.55849674236198,75.32988090928744
143205,31.606282478252623,75.28235848782025
143301,31.47612803152213,74.79622652334606
143302,31.423092091320378,74.75261760496753
143303,31.34568988196974,74.70500826308765
143304,31.296152618944202,74.74821957115421
143305,31.355206557621287,74.61294247075244
143401,31.431526222609968,74.92477975094344
143402,31.470764345975372,74.9002415898346
143406,31.47652530120757,75.02815287448912
143407,31.33293054168647,75.08108266214113
143408,31.24050811135714,75.02224188409421
143409,31.316583462399315,74.98602856282118
143410,31.259538621767923,74.93729465613805
143411,31.373511930497035,74.99484903173767
143412,31.19083058621314,74.92700301934168
143413,31.545500523777793,74.98013178160267
143414,31.495840026842536,74.67634939114642
143415,31.35501144703924,74.86568658636735
143416,31.203973159271992,74.77196045782291
143419,31.194033126974897,74.5907676334858
143422,31.343332184026814,75.13554749382129
143501,31.664459869269255,74.96064219407396
143502,31.731389823774403,75.03898895374839
143504,31.710029856348307,75.08496909080128
143505,31.816925758452463,75.20459257415621
143506,31.770048764617943,75.26926177693574
143507,31.81330193436126,75.13905822398281
143511,31.918841388259818,75.16740239422008
143512,32.01168619163069,75.1566948429049
143513,31.889431396665344,75.04067171267896
143514,31.683108142353394,75.35621759862441
143515,31.678584885282152,75.44421427179807
143516,31.814326663134263,75.38149855407082
143517,31.852690508253076,75.50544775017747
143518,31.88456366485912,75.30676167486575
143519,31.959409265718445,75.29326035643986
143520,32.02699345123948,75.30583252911103
143521,32.04147888323691,75.3998030850303
143525,32.183271907508235,75.36523638341846
143526,32.09803245365382,75.28827482408242
143527,31.772521920729172,75.46812274185402
143528,31.915236351395773,75.48489649619559
143529,31.95051564791495,75.40388391736273
143530,32.003852637811846,75.48194534550653
143531,32.09982456233237,75.49570632589595
143532,32.13906536125623,75.4109353592562
143533,32.11927165103317,75.56642541328691
143534,32.20915470751634,75.47511133273628
143601,31.769130274295804,74.97200659128515
143602,31.87824838162385,74.98363085544605
143603,31.977198619791615,74.88370958904768
143604,32.00917005070009,75.02118849433765
143605,31.941358546147228,75.07187611207902
143606,31.826967699533604,74.91074270400824
144001,31.315855963535064,75.58299719814836
144002,31.332826441781542,75.50404948797248
144005,31.292164815201197,75.61926344098507
144008,31.383662245840846,75.57167264922444
144020,31.233254836053355,75.59727661523547
144024,31.26392587359991,75.64916231153263
144025,31.377743062382237,75.64688127139682
144026,31.259288555211384,75.53082873032655
144028,31.243190970961294,75.48273663645931
144029,31.088694942204956,75.93604136193136
144030,31.393869463716445,75.79135186982258
144031,31.122134178357715,75.69891021173625
144032,31.203254817041586,75.64292080572858
144033,31.180488728018783,75.58338149353146
144034,31.1335045744547,75.64633220233799
144035,31.048784937784216,75.70815058510459
144036,31.025244810277304,75.66329997817333
144037,31.092614208294144,75.67995386965359
144039,31.049858438733914,75.58387537747303
144040,31.12599499691947,75.44549833857214
144041,31.018218398759018,75.449456095689
144042,31.152832960490574,75.52733248228702
144043,31.13542208692593,75.54953507070553
144044,31.089544224110497,75.50997424877889
144101,31.324604601782454,75.67835468182997
144102,31.40709783512437,75.71390329748255
144103,31.4278773919017,75.75384364863895
144104,31.406908483395313,75.7686860269542
144105,31.51972562431888,75.76144781995406
144106,31.471842269688864,75.74621120246184
144201,31.55533946061025,75.64325024541401
144202,31.701556078355623,75.54962297846406
144204,31.645153781464334,75.64144074594337
144205,31.81756902695065,75.65490609655866
144206,31.751149862635742,75.89995685563545
144207,31.771264414783104,75.74873469127661
144208,31.61914279012202,75.85746607575597
144209,31.706205001768673,75.92788922631317
144210,31.675846603549733,75.76874877703804
144211,31.952244440916978,75.61695628500168
144212,31.687202466201004,75.67986509225209
144213,31.794793686118027,75.8288017944895
144214,31.87863997067486,75.60098675484547
144216,31.93953191337173,75.87417007673405
144221,31.943037329764124,75.72246329889832
144222,31.942796239576182,75.81502221770647
144223,31.863514613002774,75.82859421018384
144224,31.859889860159274,75.92240623556695
144301,31.434027144443725,75.63041686297619
144302,31.46537405165047,75.65518713745378
144303,31.499230782123515,75.61298125346354
144305,31.77279364672721,75.62902516539445
144306,32.030364902454345,75.62589044473441
144311,31.151262517728952,75.69866618932286
144401,31.240107574799357,75.77230210988978
144402,31.24027221797472,75.79994652834884
144403,31.288361566280297,75.74148104267837
144404,31.33180282798549,75.86513664211675
144405,31.318100464019434,75.8408979485759
144406,31.35323800153092,75.89186912904972
144407,31.32680118950434,75.79434399893802
144408,31.333819133687523,75.86992598630385
144409,31.112811931503867,75.75915734655196
144410,31.031200132323125,75.80147812804962
144411,31.261270627233202,75.69549553029337
144415,31.03028339226199,75.94932981016935
144416,31.103205886154417,75.877467434264
144417,31.04970191154877,75.99139000235851
144418,31.11151343944527,75.8261817586157
144419,31.050780944062165,75.88803219683666
144421,31.09356720725487,76.04927910618875
144422,31.061483418765732,75.95076786842587
144501,31.199800365121856,75.84812344122535
144502,31.155448745522186,75.87081716675172
144503,31.24231784606447,75.90458167021872
144504,31.186669632504866,75.9028427692506
144505,31.204009973084876,75.96935262044356
144506,31.20710676305372,76.06027406479028
144507,31.119346838945322,75.9422529932733
144508,31.163674422654726,76.06371169793698
144509,31.157459139529116,75.94807266007085
144510,31.231176712009677,76.01186199099314
144511,31.135244067991994,75.99522066713456
144512,31.167730770549305,76.06001500664998
144513,31.128071666853348,76.04178595542918
144514,31.12718621686486,76.11727396515329
144515,31.04806746640633,76.20823468313631
144516,31.108272860287816,76.17759194643611
144517,31.03373728503975,76.12535044335664
144518,31.04314701402424,76.04594399986345
144519,31.280848989841953,75.96563342464016
144520,31.280325264930205,76.0070945480669
144521,31.074745767239033,76.3157883317054
144522,31.024627791984596,76.38827959425956
144523,31.265539318421467,76.25074501154334
144524,31.191211457752495,76.24902610766046
144525,31.168735828704644,76.30584870910297
144526,31.11827820887163,76.25642562387226
144527,31.20959468939672,76.15604816984984
144528,31.268522748706612,76.13715966748137
144529,31.29860779337686,76.08172174134681
144530,31.36605943842349,76.115965571696
144531,31.25550513258216,76.05900770552701
144532,31.162014502353447,76.18023379515836
144533,30.995285078273163,76.46711002242606
